SRA_accession_code	GEO_accession_code	pubmed_id	pmcid
SRP131201	GSE109644	29449414	PMC5894838
SRP044042	GSE59066	27499906	PMC4939892
SRP014635	GSE39776	23530188	PMC3625261
SRP008109	GSE31944		
SRP136132	GSE112118	31206195	PMC6917996
SRP083075	GSE86112	27986952	PMC5224379
SRP110791	GSE100667	30178602	
SRP165299			
SRP041126	GSE56742	26182353	PMC4504487
SRP066737			
SRP034606	GSE53481	24371808	PMC3871385
SRP077671	GSE83867	29141911	PMC5733494
SRP067924	GSE76425		
SRP164936	GSE121095	25977731	PMC4430922
SRP112586	GSE101528	28939823	PMC5610242
SRP064562	GSE71520	26431317	PMC4592187
SRP178223			
SRP081333		27683878	PMC5046175
SRP037539			
ERP022329			
DRP000499		24407955	PMC3941116
SRP036595			
SRP002306	GSE18245		
SRP060355	GSE70503	26856248	PMC4980276
SRP075408	GSE81627	27929112	PMC5476829
SRP021478	GSE46323	25416278	PMC4351381
SRP043144	GSE58418	25038827	PMC4318684
SRP017199	GSE42326	23471003	PMC3627604
SRP126141	GSE107692	30754719	PMC6406924
SRP049061	GSE62518	25918379	PMC4434739
SRP019990	GSE45506	22844086	PMC3479175
SRP064360	GSE73615	29272799	PMC8846966
SRP006965			
SRP068279	GSE76682	27183470	PMC4981340
ERP004269			
SRP071965	GSE79362	27017310	PMC5392204
SRP017138	GSE42146	23222956	PMC3588142
SRP082444			
SRP071861	GSE79271		
SRP014790	GSE40069		
SRP094773	GSE91052	28087712	PMC5238727
SRP045234	GSE60065	26561938	PMC5003778
SRP058802	GSE69319	26676643	PMC4704878
SRP064305	GSE73555	28195168	PMC5307361
